dataset,protocol,nodes,traffic_or_rate,seed,metric,reference_value,rerun_value,absolute_difference,relative_difference_percent,tolerance,status
V3-CaseA,olsr,10,medium,25,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,PacketsReceived,2957,2957,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,PacketLoss,2313,2313,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,25,PDR,56.1101,56.1101,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,ThroughputKbps,47.312,47.312,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,AverageDelaySec,0.0202243,0.0202243,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,AverageJitterSec,0.0076209,0.0076209,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,AverageHopCount,1.17822,1.17822,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,AverageLinkUtilization,0.00922325,0.00922325,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,25,MaximumLinkUtilization,0.0275251,0.0275251,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,PacketsReceived,2634,2634,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,PacketLoss,2636,2636,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,30,PDR,49.981,49.981,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,ThroughputKbps,42.144,42.144,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,AverageDelaySec,0.0244477,0.0244477,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,AverageJitterSec,0.00952631,0.00952631,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,AverageHopCount,1.1997,1.1997,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,AverageLinkUtilization,0.00929475,0.00929475,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,30,MaximumLinkUtilization,0.0281088,0.0281088,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,PacketsReceived,8514,8514,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,PacketLoss,17836,17836,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,PathChanges,617,617,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,50,medium,20,PDR,32.3112,32.3112,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,ThroughputKbps,136.224,136.224,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,AverageDelaySec,0.137918,0.137918,0,0,0.01% relative,PASS
V3-CaseA,olsr,50,medium,20,AverageJitterSec,0.0691254,0.0691254,0,0,0.01% relative,PASS
